dataset,K_means_50,K_means_25,K_means_10,K_means_5,Coreset_50,Coreset_25,Coreset_10,Coreset_5,CTgan_50,CTgan_25,CTgan_10,CTgan_5,TVAE_50,TVAE_25,TVAE_10,TVAE_5,Gauss_cop_50,Gauss_cop_25,Gauss_cop_10,Gauss_cop_5
phishing_websites,0.9172,0.9227,0.9236,0.9272,0.967,0.9593,0.9353,0.9389,0.8991,0.9145,0.9145,0.9136,0.9019,0.9059,0.91,0.8951,nan,nan,nan,nan
hotel_bookings,102056.8247,95771.8577,83712.1151,80316.4296,438.7117,540.5238,685.6808,876.6797,4584.9365,4131.9086,4506.522,5515.657,3208.6103,3916.3405,6580.6684,6459.8453,10623.281,9454.8475,10631.6732,9634.329
NATICUSdroid,0.8976,0.8948,0.8969,0.8865,0.9697,0.9652,0.9559,0.9276,0.9097,0.8509,0.8974,0.8793,0.962,0.9577,0.9507,0.948,0.8795,0.8986,0.8861,0.8875
Online_News_Popularity,2769906285.5416,3236954688.3003,5179082304.8343,6296381567.8273,118915106.5193,121913512.6041,125721019.0792,136003937.3262,119129542.27,121323297.0016,119313830.5937,123544070.4837,121909219.3224,122911899.0755,122645174.954,122326805.0293,120237959.9063,120022984.7505,119587588.6974,119436289.6893
mushroom,0.7698,0.7705,0.7655,0.7723,1.0,1.0,1.0,1.0,0.9095,0.9114,0.9194,0.9126,0.9969,0.9908,0.992,0.9754,0.8751,0.8763,0.8511,0.8529
Power_Consumption_Tetouan,nan,nan,nan,nan,nan,nan,nan,nan,42573683.199,40890866.1376,43590586.355,43753729.3582,41362996.5687,41207591.0724,47869439.5304,45208617.7064,46082575.0489,46094164.4833,45314198.2777,46293064.8497
stroke_prediction,0.4873,0.4863,0.4892,0.4971,0.9393,0.9413,0.9393,0.9393,0.9393,0.9393,0.9403,0.9403,0.9393,0.9393,nan,0.9393,0.9393,0.9393,0.9393,0.9393
red_wine,0.2875,0.3031,0.325,0.4,0.6438,0.6125,nan,nan,0.3812,0.3563,0.45,0.425,nan,nan,nan,nan,0.425,0.45,nan,nan
heart,0.5761,0.5707,0.5707,0.7065,0.8804,0.8696,0.8315,0.8587,0.538,0.7337,0.6467,0.5489,0.8533,0.8478,0.8261,0.8315,0.7174,0.6685,0.7228,0.6739
credit_card_fraud,0.4884,0.4884,0.4887,0.4885,0.9996,0.9995,0.9994,0.9994,0.9866,0.9864,0.9862,0.9871,0.999,nan,0.9984,nan,0.9983,0.9983,0.9983,0.9983
Bank_Marketing,0.5332,0.5321,0.532,0.5326,0.8942,0.893,0.8924,0.8915,0.8801,0.8855,0.891,0.8875,0.8879,0.891,0.8815,0.8903,0.8799,0.8803,0.8798,0.8795
adult,0.2407,0.2407,0.2407,0.2407,0.8336,0.8339,0.8302,0.8306,0.819,0.8297,0.8138,0.8104,0.805,0.8151,0.8173,0.7973,0.7614,0.7646,0.7612,0.7626
stroke,0.0616,0.0577,0.1272,0.1409,0.9511,0.9511,0.9511,0.9511,0.9501,0.9501,0.9511,0.9511,0.9511,0.9511,nan,nan,0.9511,0.9511,0.9511,0.9511
Connect-4,0.4344,0.4272,0.4381,0.4586,0.7915,0.7768,0.7516,0.7294,0.5605,0.6667,0.6269,0.6012,0.7111,0.7024,0.69,0.6869,0.6572,0.6582,0.6568,0.6562
heart_failure,0.55,0.65,0.6333,0.6833,0.8,0.7833,0.7,0.7333,0.6,0.65,0.6333,0.6,0.7167,0.6667,0.6,0.5833,0.7,0.7,0.7333,0.6667
telco_churn,0.3378,0.3215,0.318,0.4372,0.7864,0.7821,0.7779,0.7779,0.7445,0.7693,0.7615,0.7771,0.78,0.7757,0.7665,0.7736,0.7502,0.7658,0.7431,0.736
mobile_price,0.55,0.57,0.57,0.585,0.535,0.535,0.505,0.53,0.55,0.55,0.515,0.545,0.53,0.58,0.525,0.56,0.57,0.535,0.55,0.55
crop_recommendation,0.9364,0.9136,0.9023,0.8682,0.9932,0.9886,0.9523,0.9227,0.0545,0.05,nan,nan,0.1977,0.3455,0.1977,nan,0.0795,0.0932,0.1909,nan
diabetes,0.5974,0.6299,0.6429,0.6818,0.8117,0.7468,0.7273,0.7403,0.5909,0.6494,0.6623,0.5584,0.7857,0.7208,0.7532,0.7468,0.7403,0.7532,0.7013,0.6623
Beijing_PM25,3529.244,5162.1013,6234.1146,6839.3588,2947.6532,4112.578,5146.894,5958.3973,7048.599,7365.6583,7059.8872,7596.5719,7290.8329,6962.5803,8101.7601,7721.885,7582.1391,7569.0283,7611.0546,7749.5086
insurance_cost,nan,nan,nan,nan,18957783.9296,19843348.394,23501802.2062,33949026.2014,131409137.7705,165764754.8163,174778668.3568,nan,50717534.0323,35060450.751,48000533.298,120877314.1277,67280349.3512,71052172.3767,87307070.6699,96763189.964
Pima_Indians_Diabetes,0.6818,0.6948,0.7078,0.6818,0.8052,0.7857,0.7662,0.7208,0.6039,0.6623,0.6623,0.6558,0.7857,0.7662,0.7792,0.7013,0.7532,0.7273,0.6623,0.7208
titanic,0.6603,0.6603,0.6679,0.7099,0.874,0.8397,0.8092,0.7863,0.7481,0.7443,0.7519,0.7328,0.7519,0.7557,0.7519,0.7557,0.7405,0.7519,0.7405,0.7405
